method1,method2,sample,unifrac
closed_reference,deblur,sample080,0.3604169794545237
deblur,closed_reference,sample080,0.3604169794545237
closed_reference,closed_reference,sample080,
deblur,deblur,sample080,
closed_reference,deblur,sample105,0.2001216906185927
deblur,closed_reference,sample105,0.2001216906185927
closed_reference,closed_reference,sample105,
deblur,deblur,sample105,
closed_reference,deblur,sample103,0.2994712811647564
deblur,closed_reference,sample103,0.2994712811647564
closed_reference,closed_reference,sample103,
deblur,deblur,sample103,
closed_reference,deblur,sample074,0.3698593625215023
deblur,closed_reference,sample074,0.3698593625215023
closed_reference,closed_reference,sample074,
deblur,deblur,sample074,
closed_reference,deblur,sample075,0.29496946951560854
deblur,closed_reference,sample075,0.29496946951560854
closed_reference,closed_reference,sample075,
deblur,deblur,sample075,
closed_reference,deblur,sample076,0.3238406381063929
deblur,closed_reference,sample076,0.3238406381063929
closed_reference,closed_reference,sample076,
deblur,deblur,sample076,
closed_reference,deblur,sample077,0.22074539875899582
deblur,closed_reference,sample077,0.22074539875899582
closed_reference,closed_reference,sample077,
deblur,deblur,sample077,
closed_reference,deblur,sample078,0.3031451298511044
deblur,closed_reference,sample078,0.3031451298511044
closed_reference,closed_reference,sample078,
deblur,deblur,sample078,
closed_reference,deblur,sample079,0.19409931226663762
deblur,closed_reference,sample079,0.19409931226663762
closed_reference,closed_reference,sample079,
deblur,deblur,sample079,
closed_reference,deblur,sample081,0.4310042882090979
deblur,closed_reference,sample081,0.4310042882090979
closed_reference,closed_reference,sample081,
deblur,deblur,sample081,
closed_reference,deblur,sample082,0.3354338674808025
deblur,closed_reference,sample082,0.3354338674808025
closed_reference,closed_reference,sample082,
deblur,deblur,sample082,
closed_reference,deblur,sample083,0.2652977809181932
deblur,closed_reference,sample083,0.2652977809181932
closed_reference,closed_reference,sample083,
deblur,deblur,sample083,
closed_reference,deblur,sample084,0.36612432726021527
deblur,closed_reference,sample084,0.36612432726021527
closed_reference,closed_reference,sample084,
deblur,deblur,sample084,
closed_reference,deblur,sample085,0.23039309921896597
deblur,closed_reference,sample085,0.23039309921896597
closed_reference,closed_reference,sample085,
deblur,deblur,sample085,
closed_reference,deblur,sample086,0.3617155305648162
deblur,closed_reference,sample086,0.3617155305648162
closed_reference,closed_reference,sample086,
deblur,deblur,sample086,
closed_reference,deblur,sample087,0.33975988624163567
deblur,closed_reference,sample087,0.33975988624163567
closed_reference,closed_reference,sample087,
deblur,deblur,sample087,
closed_reference,deblur,sample088,0.3142395892563869
deblur,closed_reference,sample088,0.3142395892563869
closed_reference,closed_reference,sample088,
deblur,deblur,sample088,
closed_reference,deblur,sample089,0.538811973465474
deblur,closed_reference,sample089,0.538811973465474
closed_reference,closed_reference,sample089,
deblur,deblur,sample089,
closed_reference,deblur,sample090,0.3613340099999935
deblur,closed_reference,sample090,0.3613340099999935
closed_reference,closed_reference,sample090,
deblur,deblur,sample090,
closed_reference,deblur,sample091,0.32552584597539247
deblur,closed_reference,sample091,0.32552584597539247
closed_reference,closed_reference,sample091,
deblur,deblur,sample091,
closed_reference,deblur,sample092,0.16171753429955657
deblur,closed_reference,sample092,0.16171753429955657
closed_reference,closed_reference,sample092,
deblur,deblur,sample092,
closed_reference,deblur,sample093,0.3157304741970479
deblur,closed_reference,sample093,0.3157304741970479
closed_reference,closed_reference,sample093,
deblur,deblur,sample093,
closed_reference,deblur,sample094,0.4311960861303636
deblur,closed_reference,sample094,0.4311960861303636
closed_reference,closed_reference,sample094,
deblur,deblur,sample094,
closed_reference,deblur,sample095,0.3221684789189574
deblur,closed_reference,sample095,0.3221684789189574
closed_reference,closed_reference,sample095,
deblur,deblur,sample095,
closed_reference,deblur,sample096,0.2972404751247682
deblur,closed_reference,sample096,0.2972404751247682
closed_reference,closed_reference,sample096,
deblur,deblur,sample096,
closed_reference,deblur,sample097,0.22571231939598693
deblur,closed_reference,sample097,0.22571231939598693
closed_reference,closed_reference,sample097,
deblur,deblur,sample097,
closed_reference,deblur,sample098,0.2804699569139296
