method1,method2,sample,unifrac
closed_reference,deblur,sample1,0.0760002561296807
deblur,closed_reference,sample1,0.0760002561296807
closed_reference,closed_reference,sample1,
deblur,deblur,sample1,
deblur,input,sample1,0.3828557188761857
input,deblur,sample1,0.3828557188761857
deblur,deblur,sample1,
input,input,sample1,
de_novo,input,sample1,0.184325160610149
input,de_novo,sample1,0.184325160610149
de_novo,de_novo,sample1,
input,input,sample1,
closed_reference,open_reference,sample1,0.011471813274553471
open_reference,closed_reference,sample1,0.011471813274553471
closed_reference,closed_reference,sample1,
open_reference,open_reference,sample1,
open_reference,dada2,sample1,0.007376525853591423
dada2,open_reference,sample1,0.007376525853591423
open_reference,open_reference,sample1,
dada2,dada2,sample1,
closed_reference,input,sample1,0.2556009295408061
input,closed_reference,sample1,0.2556009295408061
closed_reference,closed_reference,sample1,
input,input,sample1,
de_novo,closed_reference,sample1,0.004093957383127605
closed_reference,de_novo,sample1,0.004093957383127605
de_novo,de_novo,sample1,
closed_reference,closed_reference,sample1,
open_reference,input,sample1,0.2236072749977163
input,open_reference,sample1,0.2236072749977163
open_reference,open_reference,sample1,
input,input,sample1,
open_reference,deblur,sample1,0.07203112636948127
deblur,open_reference,sample1,0.07203112636948127
open_reference,open_reference,sample1,
deblur,deblur,sample1,
de_novo,deblur,sample1,0.031737092841304916
deblur,de_novo,sample1,0.031737092841304916
de_novo,de_novo,sample1,
deblur,deblur,sample1,
dada2,deblur,sample1,0.06379117006633542
deblur,dada2,sample1,0.06379117006633542
dada2,dada2,sample1,
deblur,deblur,sample1,
de_novo,dada2,sample1,0.0038888763337567834
dada2,de_novo,sample1,0.0038888763337567834
de_novo,de_novo,sample1,
dada2,dada2,sample1,
dada2,input,sample1,0.302253718877809
input,dada2,sample1,0.302253718877809
dada2,dada2,sample1,
input,input,sample1,
closed_reference,dada2,sample1,0.01444242160315983
dada2,closed_reference,sample1,0.01444242160315983
closed_reference,closed_reference,sample1,
dada2,dada2,sample1,
de_novo,open_reference,sample1,0.0009474498526333004
open_reference,de_novo,sample1,0.0009474498526333004
de_novo,de_novo,sample1,
open_reference,open_reference,sample1,
