method1,method2,sample,unifrac
closed_reference,deblur,HMPMockStaggered1,0.12014855374661551
deblur,closed_reference,HMPMockStaggered1,0.12014855374661551
closed_reference,closed_reference,HMPMockStaggered1,
deblur,deblur,HMPMockStaggered1,
closed_reference,deblur,HMPMockStaggered2,0.16467861715484805
deblur,closed_reference,HMPMockStaggered2,0.16467861715484805
closed_reference,closed_reference,HMPMockStaggered2,
deblur,deblur,HMPMockStaggered2,
closed_reference,deblur,HMPMockEven1,0.163346660861775
deblur,closed_reference,HMPMockEven1,0.163346660861775
closed_reference,closed_reference,HMPMockEven1,
deblur,deblur,HMPMockEven1,
closed_reference,deblur,HMPMockEven2,0.16992388011337747
deblur,closed_reference,HMPMockEven2,0.16992388011337747
closed_reference,closed_reference,HMPMockEven2,
deblur,deblur,HMPMockEven2,
deblur,input,HMPMockStaggered2,0.10757349580895986
input,deblur,HMPMockStaggered2,0.10757349580895986
deblur,deblur,HMPMockStaggered2,
input,input,HMPMockStaggered2,
deblur,input,HMPMockEven1,0.08898717680005934
input,deblur,HMPMockEven1,0.08898717680005934
deblur,deblur,HMPMockEven1,
input,input,HMPMockEven1,
deblur,input,HMPMockStaggered1,0.09279693492372555
input,deblur,HMPMockStaggered1,0.09279693492372555
deblur,deblur,HMPMockStaggered1,
input,input,HMPMockStaggered1,
deblur,input,HMPMockEven2,0.05282084329867107
input,deblur,HMPMockEven2,0.05282084329867107
deblur,deblur,HMPMockEven2,
input,input,HMPMockEven2,
de_novo,input,HMPMockStaggered2,0.6352465888778908
input,de_novo,HMPMockStaggered2,0.6352465888778908
de_novo,de_novo,HMPMockStaggered2,
input,input,HMPMockStaggered2,
de_novo,input,HMPMockStaggered1,0.57920882718636
input,de_novo,HMPMockStaggered1,0.57920882718636
de_novo,de_novo,HMPMockStaggered1,
input,input,HMPMockStaggered1,
de_novo,input,HMPMockEven2,0.5489469546440185
input,de_novo,HMPMockEven2,0.5489469546440185
de_novo,de_novo,HMPMockEven2,
input,input,HMPMockEven2,
de_novo,input,HMPMockEven1,0.5195692043858103
input,de_novo,HMPMockEven1,0.5195692043858103
de_novo,de_novo,HMPMockEven1,
input,input,HMPMockEven1,
closed_reference,open_reference,HMPMockStaggered1,0.29850630019577895
open_reference,closed_reference,HMPMockStaggered1,0.29850630019577895
closed_reference,closed_reference,HMPMockStaggered1,
open_reference,open_reference,HMPMockStaggered1,
closed_reference,open_reference,HMPMockStaggered2,0.3031882320982603
open_reference,closed_reference,HMPMockStaggered2,0.3031882320982603
closed_reference,closed_reference,HMPMockStaggered2,
open_reference,open_reference,HMPMockStaggered2,
closed_reference,open_reference,HMPMockEven1,0.30854702739922446
open_reference,closed_reference,HMPMockEven1,0.30854702739922446
closed_reference,closed_reference,HMPMockEven1,
open_reference,open_reference,HMPMockEven1,
closed_reference,open_reference,HMPMockEven2,0.28173329693212207
open_reference,closed_reference,HMPMockEven2,0.28173329693212207
closed_reference,closed_reference,HMPMockEven2,
open_reference,open_reference,HMPMockEven2,
open_reference,dada2,HMPMockStaggered1,0.26733389768150156
dada2,open_reference,HMPMockStaggered1,0.26733389768150156
open_reference,open_reference,HMPMockStaggered1,
dada2,dada2,HMPMockStaggered1,
open_reference,dada2,HMPMockStaggered2,0.30934360884527645
dada2,open_reference,HMPMockStaggered2,0.30934360884527645
open_reference,open_reference,HMPMockStaggered2,
dada2,dada2,HMPMockStaggered2,
open_reference,dada2,HMPMockEven1,0.3312391378298592
dada2,open_reference,HMPMockEven1,0.3312391378298592
open_reference,open_reference,HMPMockEven1,
dada2,dada2,HMPMockEven1,
open_reference,dada2,HMPMockEven2,0.35780177547786496
dada2,open_reference,HMPMockEven2,0.35780177547786496
open_reference,open_reference,HMPMockEven2,
dada2,dada2,HMPMockEven2,
closed_reference,input,HMPMockStaggered1,0.14542989202349
input,closed_reference,HMPMockStaggered1,0.14542989202349
closed_reference,closed_reference,HMPMockStaggered1,
input,input,HMPMockStaggered1,
closed_reference,input,HMPMockStaggered2,0.17926347853313
input,closed_reference,HMPMockStaggered2,0.17926347853313
closed_reference,closed_reference,HMPMockStaggered2,
input,input,HMPMockStaggered2,
closed_reference,input,HMPMockEven1,0.13929230439349718
input,closed_reference,HMPMockEven1,0.13929230439349718
closed_reference,closed_reference,HMPMockEven1,
input,input,HMPMockEven1,
closed_reference,input,HMPMockEven2,0.17582301040827128
input,closed_reference,HMPMockEven2,0.17582301040827128
closed_reference,closed_reference,HMPMockEven2,
input,input,HMPMockEven2,
de_novo,closed_reference,HMPMockStaggered2,0.6091694444452069
closed_reference,de_novo,HMPMockStaggered2,0.6091694444452069
de_novo,de_novo,HMPMockStaggered2,
closed_reference,closed_reference,HMPMockStaggered2,
de_novo,closed_reference,HMPMockStaggered1,0.5642438782387112
closed_reference,de_novo,HMPMockStaggered1,0.5642438782387112
de_novo,de_novo,HMPMockStaggered1,
