Feature ID	Taxon	Confidence
c633de74634c7b662dd1b172261d73fb	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.6
b0c0f5b436949fd52f83e14b140ee064	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium	1.0
f47fea3b0062f1782f8f2cb5154c25c1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	1.0
18d57bcdab61ef704cfedc7e0f6e4cd5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium	0.7
d7fc9e1b3d2ab955e2ebbf28e7055bd2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Rhizobium	0.6
cb496efaf130bb30fdf9d58d6cc54d85	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.0
6e4534288420b1dcd2ca24832be063a3	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Morganellaceae; g__Providencia	1.0
ad7ebc221fa3fff5e7e7ec45b8de753b	k__Bacteria; p__Tenericutes; c__Mollicutes; o__Entomoplasmatales; f__Spiroplasmataceae; g__Spiroplasma	0.9
624bf43afb17a855a6d5c7b51078d497	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	1.0
0aa1e341a3239d96c889e83c53654398	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales	0.9
f2ae9532a9ca729854cdf2c07064f994	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides	0.8
15a82209f683cb04adda7a9890598336	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes	1.0
af616ab73ef30c86fbbd3d9f1c0e86ec	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium	0.7
15de8f3c7d606dc32447b7267f7c265e	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium	0.9
48f668a9ffaa7dbdd983291ecbcf728b	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Dysgonamonadaceae; g__Dysgonomonas	0.6
2a65ea84af79ed5b12133b79a4316e73	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.9
308d943fab9bf9c8e6a1a3493d71d8a6	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae	0.7
d00543d8297858e5fa92233bead584fb	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia	0.6
105969b44e55c29249c2c539a0eb2b39	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes	0.9
c89ff54e8ad19df08f5d057caed96462	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales	1.0
35fdc9ee28cfc2bbde8d1a15cbb278fe	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.6
3bf40793e74d047b0c7cc763ba432d76	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes	1.0
9b1c6c029a64fc966d6dfcf4db60a6ed	k__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacteraceae; g__Moorella	0.6
595fb33b96887106fd96179b97f6efc7	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.8
351ada508eb5effd2a04d1a7ee3dc57e	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	1.0
003e93dd0883f3bbdb7baedec35f747a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.8
07cff0518b6368c3afccee993d0ca56f	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.0
a610d8a5bfee093774395156f5a73aa2	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae	0.7
99d3a570385395e7b7bbc7730e1e2241	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.7
7d9e920949ca709a771a1f2403329d02	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.7
741f41a5169d6b6795015e4fb9cbe0ca	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Micrococcus	0.9
e268f680bbb21865f24bcbd84cfbde2f	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales	0.6
cfccfa9165148a389d5d226d7f97efff	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.9
7b7cb1eb5fa0e08992cd111b368e8eb9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium	1.0
9ef948eb3a45bb387b6ffebc73a1e40d	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales	1.0
ce4d5013156b0aaa110404bf591889b5	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus	0.7
25819d800739d8184033dd6b57af16a4	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	1.0
7b73f487be48db4355bd16e9c7fcd104	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia	0.6
