OTU,Class,Family,Genus,Kingdom,Order,Phylum,Species,Abundance,empty
1,Gammaproteobacteria,Enterobacteriaceae,unknown,Bacteria,Enterobacteriales,Proteobacteria,unknown,25176.0,
2,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,5418.0,
3,Clostridia,Ruminococcaceae,Faecalibacterium,Bacteria,Clostridiales,Firmicutes,Faecalibacterium prausnitzii,4500.0,
4,Clostridia,Ruminococcaceae,Faecalibacterium,Bacteria,Clostridiales,Firmicutes,Faecalibacterium prausnitzii,4438.0,
5,Clostridia,Lachnospiraceae,Roseburia,Bacteria,Clostridiales,Firmicutes,Roseburia faecis,4351.0,
6,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,4193.0,
7,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,Bacteroides uniformis,3742.0,
8,Gammaproteobacteria,Enterobacteriaceae,unknown,Bacteria,Enterobacteriales,Proteobacteria,unknown,3534.0,
9,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,3156.0,
10,Clostridia,Ruminococcaceae,Ruminococcus,Bacteria,Clostridiales,Firmicutes,Ruminococcus bromii,2982.0,
11,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,Bacteroides caccae,2951.0,
12,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,Bacteroides plebeius,2180.0,
13,Bacteroidia,Porphyromonadaceae,Parabacteroides,Bacteria,Bacteroidales,Bacteroidetes,Parabacteroides distasonis,2105.0,
14,Gammaproteobacteria,Enterobacteriaceae,unknown,Bacteria,Enterobacteriales,Proteobacteria,unknown,2098.0,
15,Bacteroidia,Rikenellaceae,Alistipes,Bacteria,Bacteroidales,Bacteroidetes,Alistipes putredinis,2021.0,
16,Gammaproteobacteria,Enterobacteriaceae,unknown,Bacteria,Enterobacteriales,Proteobacteria,unknown,1926.0,
17,Verrucomicrobiae,Verrucomicrobiaceae,Akkermansia,Bacteria,Verrucomicrobiales,Verrucomicrobia,Akkermansia muciniphila,1772.0,
18,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,Bacteroides fragilis,1618.0,
19,Bacilli,unknown,unknown,Bacteria,Bacillales,Firmicutes,unknown,1506.0,
20,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,1477.0,
21,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,1443.0,
22,Bacteroidia,Porphyromonadaceae,Parabacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,1438.0,
23,Clostridia,Lachnospiraceae,Dorea,Bacteria,Clostridiales,Firmicutes,Dorea longicatena,1231.0,
24,Clostridia,Veillonellaceae,Dialister,Bacteria,Clostridiales,Firmicutes,unknown,1206.0,
25,Clostridia,Ruminococcaceae,Faecalibacterium,Bacteria,Clostridiales,Firmicutes,Faecalibacterium prausnitzii,1160.0,
26,Clostridia,Ruminococcaceae,Gemmiger,Bacteria,Clostridiales,Firmicutes,Gemmiger formicilis,1086.0,
27,Clostridia,Lachnospiraceae,Blautia,Bacteria,Clostridiales,Firmicutes,unknown,1079.0,
28,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,Bacteria,Bifidobacteriales,Actinobacteria,unknown,1072.0,
29,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,Bacteria,Bifidobacteriales,Actinobacteria,unknown,1040.0,
30,Clostridia,Clostridiaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,1037.0,
31,Bacteroidia,Prevotellaceae,Prevotella,Bacteria,Bacteroidales,Bacteroidetes,Prevotella copri,998.0,
32,Clostridia,Veillonellaceae,Phascolarctobacterium,Bacteria,Clostridiales,Firmicutes,unknown,987.0,
33,Clostridia,Lachnospiraceae,Clostridium,Bacteria,Clostridiales,Firmicutes,Clostridium clostridioforme,883.0,
34,Methanobacteria,Methanobacteriaceae,Methanobrevibacter,Archaea,Methanobacteriales,Euryarchaeota,unknown,808.0,
35,Erysipelotrichi,Erysipelotrichaceae,unknown,Bacteria,Erysipelotrichales,Firmicutes,unknown,773.0,
36,Bacteroidia,Prevotellaceae,Prevotella,Bacteria,Bacteroidales,Bacteroidetes,Prevotella copri,768.0,
37,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,759.0,
38,Mollicutes,unknown,unknown,Bacteria,RF39,Tenericutes,unknown,757.0,
39,Bacteroidia,Barnesiellaceae,Barnesiella,Bacteria,Bacteroidales,Bacteroidetes,Barnesiella intestinihominis,751.0,
40,Bacilli,Planococcaceae,unknown,Bacteria,Bacillales,Firmicutes,unknown,712.0,
41,Clostridia,Veillonellaceae,Phascolarctobacterium,Bacteria,Clostridiales,Firmicutes,unknown,706.0,
42,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,694.0,
43,Bacteroidia,Rikenellaceae,Alistipes,Bacteria,Bacteroidales,Bacteroidetes,Alistipes finegoldii,685.0,
