OTU,Class,Family,Genus,Kingdom,Order,Phylum,Species,Abundance,empty
1,Gammaproteobacteria,Enterobacteriaceae,unknown,Bacteria,Enterobacterales,Proteobacteria,unknown,25176.0,
2,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,5418.0,
3,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,4500.0,
4,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,4438.0,
5,Clostridia,Lachnospiraceae,Roseburia,Bacteria,Clostridiales,Firmicutes,unknown,4351.0,
6,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,4193.0,
7,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,3742.0,
8,Gammaproteobacteria,Enterobacteriaceae,Klebsiella,Bacteria,Enterobacterales,Proteobacteria,unknown,3534.0,
9,Clostridia,Ruminococcaceae,Ruminococcus,Bacteria,Clostridiales,Firmicutes,unknown,3156.0,
10,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,2982.0,
11,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,2951.0,
12,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,2180.0,
13,Bacteroidia,Tannerellaceae,Parabacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,2105.0,
14,Gammaproteobacteria,Enterobacteriaceae,Citrobacter,Bacteria,Enterobacterales,Proteobacteria,unknown,2098.0,
15,Bacteroidia,Rikenellaceae,Alistipes,Bacteria,Bacteroidales,Bacteroidetes,unknown,2021.0,
16,Gammaproteobacteria,Enterobacteriaceae,unknown,Bacteria,Enterobacterales,Proteobacteria,unknown,1926.0,
17,Verrucomicrobiae,Verrucomicrobiaceae,unknown,Bacteria,Verrucomicrobiales,Verrucomicrobia,unknown,1772.0,
18,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,1618.0,
19,Bacilli,Bacillaceae,Bacillus,Bacteria,Bacillales,Firmicutes,unknown,1506.0,
20,Clostridia,Peptostreptococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,1477.0,
21,Bacilli,Alicyclobacillaceae,Alicyclobacillus,Bacteria,Bacillales,Firmicutes,unknown,1443.0,
22,Bacteroidia,Tannerellaceae,Parabacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,1438.0,
23,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,1231.0,
24,Negativicutes,Veillonellaceae,Dialister,Bacteria,Veillonellales,Firmicutes,unknown,1206.0,
25,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,1160.0,
26,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,1086.0,
27,Clostridia,Lachnospiraceae,Blautia,Bacteria,Clostridiales,Firmicutes,unknown,1079.0,
28,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,Bacteria,Bifidobacteriales,Actinobacteria,unknown,1072.0,
29,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,Bacteria,Bifidobacteriales,Actinobacteria,unknown,1040.0,
30,Clostridia,Clostridiaceae,Clostridium,Bacteria,Clostridiales,Firmicutes,unknown,1037.0,
31,Bacteroidia,Prevotellaceae,Prevotella,Bacteria,Bacteroidales,Bacteroidetes,unknown,998.0,
32,Negativicutes,Acidaminococcaceae,unknown,Bacteria,Acidaminococcales,Firmicutes,unknown,987.0,
33,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,883.0,
34,Methanobacteria,Methanobacteriaceae,Methanobrevibacter,Archaea,Methanobacteriales,Euryarchaeota,unknown,808.0,
35,Erysipelotrichia,Erysipelotrichaceae,Erysipelatoclostridium,Bacteria,Erysipelotrichales,Firmicutes,unknown,773.0,
36,Bacteroidia,Prevotellaceae,Prevotella,Bacteria,Bacteroidales,Bacteroidetes,unknown,768.0,
