OTU,Class,Family,Genus,Kingdom,Order,Phylum,Species,Abundance,empty
1,Gammaproteobacteria,Enterobacteriaceae,Escherichia-Shigella,Bacteria,Enterobacteriales,Proteobacteria,unknown,25176.0,
2,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,5418.0,
3,Clostridia,Ruminococcaceae,Faecalibacterium,Bacteria,Clostridiales,Firmicutes,unknown,4500.0,
4,Clostridia,Ruminococcaceae,Subdoligranulum,Bacteria,Clostridiales,Firmicutes,unknown,4438.0,
5,Clostridia,Lachnospiraceae,Agathobacter,Bacteria,Clostridiales,Firmicutes,unknown,4351.0,
6,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,4193.0,
7,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,3742.0,
8,Gammaproteobacteria,Enterobacteriaceae,unknown,Bacteria,Enterobacteriales,Proteobacteria,unknown,3534.0,
9,Clostridia,Ruminococcaceae,Eubacterium coprostanoligenes group,Bacteria,Clostridiales,Firmicutes,human gut metagenome,3156.0,
10,Clostridia,Ruminococcaceae,Ruminococcus 2,Bacteria,Clostridiales,Firmicutes,unknown,2982.0,
11,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,2951.0,
12,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,2180.0,
13,Bacteroidia,Tannerellaceae,Parabacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,2105.0,
14,Gammaproteobacteria,Enterobacteriaceae,unknown,Bacteria,Enterobacteriales,Proteobacteria,unknown,2098.0,
15,Bacteroidia,Rikenellaceae,Alistipes,Bacteria,Bacteroidales,Bacteroidetes,uncultured Alistipes sp.,2021.0,
16,Gammaproteobacteria,Enterobacteriaceae,unknown,Bacteria,Enterobacteriales,Proteobacteria,unknown,1926.0,
17,Verrucomicrobiae,Akkermansiaceae,Akkermansia,Bacteria,Verrucomicrobiales,Verrucomicrobia,unknown,1772.0,
18,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,1618.0,
19,Bacilli,Bacillaceae,unknown,Bacteria,Bacillales,Firmicutes,unknown,1506.0,
20,Clostridia,Peptostreptococcaceae,Romboutsia,Bacteria,Clostridiales,Firmicutes,unknown,1477.0,
21,Clostridia,Christensenellaceae,Christensenellaceae R-7 group,Bacteria,Clostridiales,Firmicutes,unknown,1443.0,
22,Bacteroidia,Tannerellaceae,Parabacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,1438.0,
23,Clostridia,Lachnospiraceae,Dorea,Bacteria,Clostridiales,Firmicutes,unknown,1231.0,
24,Negativicutes,Veillonellaceae,Dialister,Bacteria,Selenomonadales,Firmicutes,unknown,1206.0,
25,Clostridia,Ruminococcaceae,Faecalibacterium,Bacteria,Clostridiales,Firmicutes,unknown,1160.0,
26,Clostridia,Ruminococcaceae,Subdoligranulum,Bacteria,Clostridiales,Firmicutes,unknown,1086.0,
27,Clostridia,Lachnospiraceae,Blautia,Bacteria,Clostridiales,Firmicutes,unknown,1079.0,
