Edges,spearman,pearson,mldm,magma,sparcc,spieceasi
Enterobacteriaceae-Bacteroides-neg,0.3594,0.3314,0.0,0.0,0.3016,0.0
Enterobacteriaceae-Ruminococcaceae-neg,0.4704,0.4133,0.0,0.0,0.4551,0.0231909561176695
Enterobacteriaceae-Roseburia-neg,0.3319,0.2548,0.0,0.0,0.34,0.0
Enterobacteriaceae-Klebsiella-pos,0.3463,0.1344,0.0,0.0,0.3102,0.0
Enterobacteriaceae-Klebsiella-neg,0.0,0.0,0.038602843554305,0.0,0.0,0.0
Enterobacteriaceae-Ruminococcus-neg,0.0026,0.1197,0.0846317862887362,0.0,0.12,0.0
Enterobacteriaceae-Parabacteroides-neg,0.2979,0.2635,0.0035311377040582897,0.0,0.2831,0.0
Enterobacteriaceae-Citrobacter-pos,0.2534,0.157,0.163188272373325,0.0,0.2809,0.0
Enterobacteriaceae-Alistipes-neg,0.3373,0.2851,0.0,0.0,0.3264,0.0
Enterobacteriaceae-Verrucomicrobiaceae-pos,0.0,0.0,0.0186594827262527,0.0,0.0,0.0
Enterobacteriaceae-Verrucomicrobiaceae-neg,0.2362,0.1706,0.0,0.0,0.1886,0.0
Enterobacteriaceae-Bacillus-pos,0.3626,0.0,0.123153892358735,0.0,0.3415,0.0
Enterobacteriaceae-Bacillus-neg,0.0,0.0372,0.0,0.0,0.0,0.0
Enterobacteriaceae-Peptostreptococcaceae-neg,0.0956,0.2293,0.0,0.0,0.0977,0.0
Enterobacteriaceae-Alicyclobacillus-pos,0.0297,0.0,0.0,0.0,0.0184,0.0
Enterobacteriaceae-Alicyclobacillus-neg,0.0,0.0794,0.17937333769567396,0.0,0.0,0.0
Enterobacteriaceae-Lachnospiraceae-neg,0.3939,0.342,0.0,0.0,0.3844,0.0
Enterobacteriaceae-Dialister-pos,0.0,0.0,0.0,0.0,0.0217,0.0
Enterobacteriaceae-Dialister-neg,0.0249,0.1808,0.22346966312706001,0.0,0.0,0.0
Enterobacteriaceae-Blautia-neg,0.3994,0.323,0.0,0.0,0.3516,0.0
Enterobacteriaceae-Bifidobacterium-pos,0.0,0.0,0.119921510624517,0.0,0.0,0.0
Enterobacteriaceae-Bifidobacterium-neg,0.1144,0.17,0.0,0.0,0.0695,0.0
Enterobacteriaceae-Clostridium-pos,0.1106,0.0,0.13968004962636998,0.0,0.1216,0.0
Enterobacteriaceae-Clostridium-neg,0.0,0.0973,0.0,0.0,0.0,0.0
Enterobacteriaceae-Prevotella-neg,0.3166,0.2829,0.00841885267841085,0.0,0.2959,0.0
Enterobacteriaceae-Acidaminococcaceae-neg,0.3901,0.2588,0.0,0.0016824408231289301,0.3281,0.0
Enterobacteriaceae-Methanobrevibacter-pos,0.2938,0.046,0.0,0.0,0.2638,0.0
Enterobacteriaceae-Erysipelatoclostridium-neg,0.1027,0.206,0.0,0.0,0.215,0.0
Enterobacteriaceae-Spiroplasma-pos,0.0482,0.0,0.0,0.0,0.0208,0.0
Enterobacteriaceae-Spiroplasma-neg,0.0,0.1409,0.0,0.0,0.0,0.0
Enterobacteriaceae-Bacteroidales-neg,0.4012,0.2891,0.0312699756132874,0.0,0.3011,0.0
Enterobacteriaceae-Bacillales-pos,0.0982,0.0,0.0,0.0,0.0038,0.0
Enterobacteriaceae-Bacillales-neg,0.0,0.1435,0.0,0.0,0.0,0.0
Enterobacteriaceae-Lysinibacillus-pos,0.3127,0.2312,0.0,0.0,0.1444,0.0
Enterobacteriaceae-Clostridiales-neg,0.2039,0.266,0.0923526843995908,0.0,0.1348,0.0
Enterobacteriaceae-Anaerostipes-neg,0.4785,0.2638,0.045731630676165,0.0,0.4211,0.00600505616544844
Enterobacteriaceae-Alphaproteobacteria-pos,0.0374,0.0644,0.0,0.0,0.0807,0.0
Enterobacteriaceae-Hungateiclostridiaceae-neg,0.3008,0.1827,0.0,0.0,0.2714,0.0
Enterobacteriaceae-Providencia-pos,0.0098,0.0,0.0,0.0,0.0947,0.0
Enterobacteriaceae-Providencia-neg,0.0,0.009,0.0,0.0,0.0,0.0
Enterobacteriaceae-Pseudomonas-pos,0.2899,0.1156,0.0913556187025784,0.0,0.2879,0.0
Enterobacteriaceae-Staphylococcus-pos,0.006,0.0,0.0,0.0,0.0,0.0
Enterobacteriaceae-Staphylococcus-neg,0.0,0.1526,0.0,0.0,0.0361,0.0
Enterobacteriaceae-Haemophilus-neg,0.1711,0.2537,0.0,0.0,0.1406,0.0
Enterobacteriaceae-Streptococcus-pos,0.0154,0.0,0.28642459423920097,0.0,0.0736,0.0
Enterobacteriaceae-Streptococcus-neg,0.0,0.0964,0.0,0.0,0.0,0.0
Enterobacteriaceae-Lactobacillus-neg,0.2164,0.2218,0.0,0.0,0.0851,0.0
Enterobacteriaceae-Sphingomonas-pos,0.0,0.0,0.0,0.0,0.0194,0.0
Enterobacteriaceae-Sphingomonas-neg,0.0725,0.1047,0.0435182620863978,0.0,0.0,0.0
Enterobacteriaceae-Desulfovibrio-neg,0.3426,0.2001,0.0,0.0,0.2716,0.0
Enterobacteriaceae-Lachnoclostridium-neg,0.3989,0.3113,0.0,0.0,0.3254,0.0
Enterobacteriaceae-Odoribacter-neg,0.2791,0.2872,0.0,0.0,0.1459,0.0
Enterobacteriaceae-Enterobacterales-pos,0.0533,0.1122,0.0,0.0,0.1562,0.0
Enterobacteriaceae-Enterococcus-pos,0.0409,0.1001,0.0,0.0,0.1269,0.0
Enterobacteriaceae-Enterococcus-neg,0.0,0.0,0.021214736752612,0.0,0.0,0.0
Enterobacteriaceae-Firmicutes-neg,0.1372,0.2068,0.0753187947309862,0.0,0.0494,0.0
Enterobacteriaceae-Erysipelotrichaceae-neg,0.2308,0.1941,0.0,0.0,0.1299,0.0
Enterobacteriaceae-Unassigned-neg,0.1886,0.1178,0.0,0.0,0.0719,0.0
Enterobacteriaceae-Coriobacteriia-pos,0.0999,0.0,0.0,0.0,0.1606,0.0
Enterobacteriaceae-Coriobacteriia-neg,0.0,0.0982,0.0,0.0,0.0,0.0
Enterobacteriaceae-Faecalicatena-neg,0.0988,0.1717,0.0,0.0,0.0032,0.0
Enterobacteriaceae-Desulfosporosinus-pos,0.1138,0.0,0.0,0.0,0.0863,0.0
Enterobacteriaceae-Desulfosporosinus-neg,0.0,0.1248,0.0,0.0,0.0,0.0
Enterobacteriaceae-Burkholderiales-neg,0.3092,0.1915,0.0676748203172864,0.0,0.1555,0.0
Enterobacteriaceae-Bacteroidia-neg,0.1411,0.1454,0.0,0.0,0.0921,0.0
Enterobacteriaceae-Collinsella-pos,0.0,0.0,0.0,0.0,0.0186,0.0
Enterobacteriaceae-Collinsella-neg,0.1423,0.2301,0.0,0.0,0.0,0.0
Enterobacteriaceae-Corynebacterium-neg,0.1092,0.0603,0.0,0.0,0.0561,0.0
Enterobacteriaceae-Clostridiales Family XIII. Incertae Sedis-pos,0.0196,0.0,0.0,0.0,0.0,0.0
Enterobacteriaceae-Clostridiales Family XIII. Incertae Sedis-neg,0.0,0.0494,0.0,0.0,0.0044,0.0
Enterobacteriaceae-Bacteria-pos,0.0,0.0163,0.0,0.0,0.1152,0.0
Enterobacteriaceae-Bacteria-neg,0.0297,0.0,0.0,0.0,0.0,0.0
Enterobacteriaceae-Moorella-neg,0.0053,0.0323,0.0,0.0,0.0383,0.0
Enterobacteriaceae-Brucella-pos,0.2263,0.0343,0.0,0.0,0.2124,0.0
Enterobacteriaceae-Dysgonomonas-pos,0.0,0.0,0.0,0.0,0.0069,0.0
Enterobacteriaceae-Dysgonomonas-neg,0.0868,0.1408,0.0,0.0,0.0,0.0
Enterobacteriaceae-Porphyromonadaceae-neg,0.2698,0.164,0.0,0.0,0.1575,0.0
Enterobacteriaceae-Planococcaceae-pos,0.2008,0.2135,0.0,0.0,0.1025,0.0
Enterobacteriaceae-Oceanobacillus-pos,0.2318,0.21,0.0,0.0,0.0886,0.0
Enterobacteriaceae-Legionella-pos,0.0,0.0122,0.0,0.0,0.059,0.0
