method1,method2,sample,unifrac
closed_reference,deblur,EMPSoil,0.21496258943509758
deblur,closed_reference,EMPSoil,0.21496258943509758
closed_reference,closed_reference,EMPSoil,
deblur,deblur,EMPSoil,
deblur,input,EMPSoil,0.5498866698650487
input,deblur,EMPSoil,0.5498866698650487
deblur,deblur,EMPSoil,
input,input,EMPSoil,
de_novo,input,EMPSoil,0.543147908807653
input,de_novo,EMPSoil,0.543147908807653
de_novo,de_novo,EMPSoil,
input,input,EMPSoil,
closed_reference,open_reference,EMPSoil,0.0029463124738210037
open_reference,closed_reference,EMPSoil,0.0029463124738210037
closed_reference,closed_reference,EMPSoil,
open_reference,open_reference,EMPSoil,
open_reference,dada2,EMPSoil,0.19099684514745902
dada2,open_reference,EMPSoil,0.19099684514745902
open_reference,open_reference,EMPSoil,
dada2,dada2,EMPSoil,
closed_reference,input,EMPSoil,0.5706246609951166
input,closed_reference,EMPSoil,0.5706246609951166
closed_reference,closed_reference,EMPSoil,
input,input,EMPSoil,
de_novo,closed_reference,EMPSoil,0.21733641550338148
closed_reference,de_novo,EMPSoil,0.21733641550338148
de_novo,de_novo,EMPSoil,
closed_reference,closed_reference,EMPSoil,
open_reference,input,EMPSoil,0.5660338596166012
input,open_reference,EMPSoil,0.5660338596166012
open_reference,open_reference,EMPSoil,
input,input,EMPSoil,
open_reference,deblur,EMPSoil,0.19490847980094872
deblur,open_reference,EMPSoil,0.19490847980094872
open_reference,open_reference,EMPSoil,
deblur,deblur,EMPSoil,
de_novo,deblur,EMPSoil,0.20407069275158407
deblur,de_novo,EMPSoil,0.20407069275158407
de_novo,de_novo,EMPSoil,
deblur,deblur,EMPSoil,
dada2,deblur,EMPSoil,0.09539311552899324
deblur,dada2,EMPSoil,0.09539311552899324
dada2,dada2,EMPSoil,
deblur,deblur,EMPSoil,
de_novo,dada2,EMPSoil,0.12098198060077885
dada2,de_novo,EMPSoil,0.12098198060077885
de_novo,de_novo,EMPSoil,
dada2,dada2,EMPSoil,
dada2,input,EMPSoil,0.5342502672148747
input,dada2,EMPSoil,0.5342502672148747
dada2,dada2,EMPSoil,
input,input,EMPSoil,
closed_reference,dada2,EMPSoil,0.2009734800659097
dada2,closed_reference,EMPSoil,0.2009734800659097
closed_reference,closed_reference,EMPSoil,
dada2,dada2,EMPSoil,
de_novo,open_reference,EMPSoil,0.19968980061964703
open_reference,de_novo,EMPSoil,0.19968980061964703
de_novo,de_novo,EMPSoil,
open_reference,open_reference,EMPSoil,
