method1,method2,sample,unifrac
closed_reference,deblur,EMPSoil,0.037069592264767644
deblur,closed_reference,EMPSoil,0.037069592264767644
closed_reference,closed_reference,EMPSoil,
deblur,deblur,EMPSoil,
deblur,input,EMPSoil,0.5077852057007177
input,deblur,EMPSoil,0.5077852057007177
deblur,deblur,EMPSoil,
input,input,EMPSoil,
de_novo,input,EMPSoil,0.4641791694792338
input,de_novo,EMPSoil,0.4641791694792338
de_novo,de_novo,EMPSoil,
input,input,EMPSoil,
closed_reference,open_reference,EMPSoil,0.00012275115942206536
open_reference,closed_reference,EMPSoil,0.00012275115942206536
closed_reference,closed_reference,EMPSoil,
open_reference,open_reference,EMPSoil,
open_reference,dada2,EMPSoil,0.03843454308803564
dada2,open_reference,EMPSoil,0.03843454308803564
open_reference,open_reference,EMPSoil,
dada2,dada2,EMPSoil,
closed_reference,input,EMPSoil,0.5278363483602283
input,closed_reference,EMPSoil,0.5278363483602283
closed_reference,closed_reference,EMPSoil,
input,input,EMPSoil,
de_novo,closed_reference,EMPSoil,0.07043082822575629
closed_reference,de_novo,EMPSoil,0.07043082822575629
de_novo,de_novo,EMPSoil,
closed_reference,closed_reference,EMPSoil,
open_reference,input,EMPSoil,0.5256922369373138
input,open_reference,EMPSoil,0.5256922369373138
open_reference,open_reference,EMPSoil,
input,input,EMPSoil,
open_reference,deblur,EMPSoil,0.03463617415700542
deblur,open_reference,EMPSoil,0.03463617415700542
open_reference,open_reference,EMPSoil,
deblur,deblur,EMPSoil,
de_novo,deblur,EMPSoil,0.06252011492640736
deblur,de_novo,EMPSoil,0.06252011492640736
de_novo,de_novo,EMPSoil,
deblur,deblur,EMPSoil,
dada2,deblur,EMPSoil,0.02156574202639145
deblur,dada2,EMPSoil,0.02156574202639145
dada2,dada2,EMPSoil,
deblur,deblur,EMPSoil,
de_novo,dada2,EMPSoil,0.05010095912535591
dada2,de_novo,EMPSoil,0.05010095912535591
de_novo,de_novo,EMPSoil,
dada2,dada2,EMPSoil,
dada2,input,EMPSoil,0.4943941027697566
input,dada2,EMPSoil,0.4943941027697566
dada2,dada2,EMPSoil,
input,input,EMPSoil,
closed_reference,dada2,EMPSoil,0.039875964391160014
dada2,closed_reference,EMPSoil,0.039875964391160014
closed_reference,closed_reference,EMPSoil,
dada2,dada2,EMPSoil,
de_novo,open_reference,EMPSoil,0.06822816875820058
open_reference,de_novo,EMPSoil,0.06822816875820058
de_novo,de_novo,EMPSoil,
open_reference,open_reference,EMPSoil,
