method1,method2,sample,unifrac
closed_reference,deblur,EMPWater,0.16996311401768951
deblur,closed_reference,EMPWater,0.16996311401768951
closed_reference,closed_reference,EMPWater,
deblur,deblur,EMPWater,
deblur,input,EMPWater,0.528056976798481
input,deblur,EMPWater,0.528056976798481
deblur,deblur,EMPWater,
input,input,EMPWater,
de_novo,input,EMPWater,0.5491281905578382
input,de_novo,EMPWater,0.5491281905578382
de_novo,de_novo,EMPWater,
input,input,EMPWater,
closed_reference,open_reference,EMPWater,0.0030197717818784605
open_reference,closed_reference,EMPWater,0.0030197717818784605
closed_reference,closed_reference,EMPWater,
open_reference,open_reference,EMPWater,
open_reference,dada2,EMPWater,0.1595470132098502
dada2,open_reference,EMPWater,0.1595470132098502
open_reference,open_reference,EMPWater,
dada2,dada2,EMPWater,
closed_reference,input,EMPWater,0.5573116318975139
input,closed_reference,EMPWater,0.5573116318975139
closed_reference,closed_reference,EMPWater,
input,input,EMPWater,
de_novo,closed_reference,EMPWater,0.19348219183255091
closed_reference,de_novo,EMPWater,0.19348219183255091
de_novo,de_novo,EMPWater,
closed_reference,closed_reference,EMPWater,
open_reference,input,EMPWater,0.5648151431168457
input,open_reference,EMPWater,0.5648151431168457
open_reference,open_reference,EMPWater,
input,input,EMPWater,
open_reference,deblur,EMPWater,0.16063697055709023
deblur,open_reference,EMPWater,0.16063697055709023
open_reference,open_reference,EMPWater,
deblur,deblur,EMPWater,
de_novo,deblur,EMPWater,0.17166501715829657
deblur,de_novo,EMPWater,0.17166501715829657
de_novo,de_novo,EMPWater,
deblur,deblur,EMPWater,
dada2,deblur,EMPWater,0.08430114456793388
deblur,dada2,EMPWater,0.08430114456793388
dada2,dada2,EMPWater,
deblur,deblur,EMPWater,
de_novo,dada2,EMPWater,0.11497497589999038
dada2,de_novo,EMPWater,0.11497497589999038
de_novo,de_novo,EMPWater,
dada2,dada2,EMPWater,
dada2,input,EMPWater,0.5414409807507143
input,dada2,EMPWater,0.5414409807507143
dada2,dada2,EMPWater,
input,input,EMPWater,
closed_reference,dada2,EMPWater,0.1452261413301083
dada2,closed_reference,EMPWater,0.1452261413301083
closed_reference,closed_reference,EMPWater,
dada2,dada2,EMPWater,
de_novo,open_reference,EMPWater,0.1858672625402302
open_reference,de_novo,EMPWater,0.1858672625402302
de_novo,de_novo,EMPWater,
open_reference,open_reference,EMPWater,
