OTU,Class,Family,Genus,Kingdom,Order,Phylum,Species,Abundance,empty
1,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,2081.0,
2,Alphaproteobacteria,Xanthobacteraceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,unknown,2073.0,
3,Alphaproteobacteria,Xanthobacteraceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,unknown,1808.0,
4,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,1736.0,
5,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,1174.0,
6,Alphaproteobacteria,Xanthobacteraceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,unknown,1100.0,
7,Alphaproteobacteria,Xanthobacteraceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,unknown,757.0,
8,Verrucomicrobiae,Opitutaceae,Opitutus,Bacteria,Opitutales,Verrucomicrobia,unknown,651.0,
9,unknown,unknown,unknown,Eukaryota,unknown,unknown,unknown,600.0,
10,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,589.0,
11,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,577.0,
12,Alphaproteobacteria,Xanthobacteraceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,unknown,570.0,
13,Nitrospira,Nitrospiraceae,Nitrospira,Bacteria,Nitrospirales,Nitrospirae,Nitrospira japonica,570.0,
14,Alphaproteobacteria,Xanthobacteraceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,unknown,568.0,
15,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,561.0,
16,Nitrospira,Nitrospiraceae,Nitrospira,Bacteria,Nitrospirales,Nitrospirae,Nitrospira japonica,527.0,
17,Verrucomicrobiae,Opitutaceae,Opitutus,Bacteria,Opitutales,Verrucomicrobia,unknown,526.0,
18,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,510.0,
19,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,498.0,
20,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,495.0,
21,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonadales,Proteobacteria,unknown,458.0,
22,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,456.0,
23,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,449.0,
24,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,444.0,
25,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,397.0,
26,Deltaproteobacteria,Geobacteraceae,Geobacter,Bacteria,Desulfuromonadales,Proteobacteria,unknown,394.0,
27,unknown,unknown,unknown,Eukaryota,unknown,unknown,unknown,385.0,
28,Gammaproteobacteria,Steroidobacteraceae,Steroidobacter,Bacteria,Steroidobacterales,Proteobacteria,unknown,385.0,
29,Verrucomicrobiae,Chthoniobacteraceae,Chthoniobacter,Bacteria,Chthoniobacterales,Verrucomicrobia,unknown,376.0,
30,Gammaproteobacteria,Steroidobacteraceae,Steroidobacter,Bacteria,Steroidobacterales,Proteobacteria,unknown,358.0,
31,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,355.0,
32,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,353.0,
33,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,349.0,
34,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,333.0,
35,Deltaproteobacteria,Geobacteraceae,Geobacter,Bacteria,Desulfuromonadales,Proteobacteria,unknown,325.0,
36,Gammaproteobacteria,Burkholderiaceae,unknown,Bacteria,Betaproteobacteriales,Proteobacteria,unknown,322.0,
37,Gammaproteobacteria,Steroidobacteraceae,Steroidobacter,Bacteria,Steroidobacterales,Proteobacteria,unknown,321.0,
38,Deltaproteobacteria,Geobacteraceae,Geobacter,Bacteria,Desulfuromonadales,Proteobacteria,unknown,320.0,
39,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,316.0,
40,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonadales,Proteobacteria,unknown,315.0,
41,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,310.0,
42,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,307.0,
43,Gammaproteobacteria,Burkholderiaceae,unknown,Bacteria,Betaproteobacteriales,Proteobacteria,unknown,289.0,
44,Verrucomicrobiae,Opitutaceae,Opitutus,Bacteria,Opitutales,Verrucomicrobia,Opitutus terrae PB90-1,286.0,
45,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,281.0,
46,unknown,unknown,unknown,Unassigned,unknown,unknown,unknown,275.0,
47,Gammaproteobacteria,Burkholderiaceae,unknown,Bacteria,Betaproteobacteriales,Proteobacteria,unknown,274.0,
48,Planctomycetacia,Gemmataceae,Gemmata,Bacteria,Gemmatales,Planctomycetes,Gemmata obscuriglobus UQM 2246,273.0,
49,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonadales,Proteobacteria,unknown,271.0,
50,Verrucomicrobiae,Chthoniobacteraceae,Chthoniobacter,Bacteria,Chthoniobacterales,Verrucomicrobia,unknown,266.0,
