task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	07/d71db9	4746	sequence_processing_paired_workflow:demultiplexing_paired_workflow:import_sequences_paired (fmt-run3)	CACHED	0	2022-03-29 03:23:48.594	3m 4s	2m 54s	74.1%	187.3 MB	523 MB	10.3 GB	5.1 GB
1	b6/de5f5b	4740	sequence_processing_paired_workflow:demultiplexing_paired_workflow:import_sequences_paired (fmt-run2)	CACHED	0	2022-03-29 03:23:48.586	4m 1s	3m 50s	80.1%	187.2 MB	523 MB	14.7 GB	7.3 GB
3	b9/346f95	4737	sequence_processing_paired_workflow:demultiplexing_paired_workflow:import_sequences_paired (fmt-run4)	CACHED	0	2022-03-29 03:23:48.577	5m 45s	5m 35s	87.2%	187.2 MB	523 MB	24.4 GB	12.2 GB
5	e6/439ea0	21456	sequence_processing_paired_workflow:demultiplexing_paired_workflow:demultiplexing_illumina_paired (fmt-run4)	CACHED	0	2022-03-29 03:29:33.881	14m 3s	14m 1s	99.0%	204.1 MB	538.9 MB	13.5 GB	8 GB
6	4d/fbe0b4	16837	sequence_processing_paired_workflow:demultiplexing_paired_workflow:demultiplexing_illumina_paired (fmt-run2)	CACHED	0	2022-03-29 03:27:49.326	44m 1s	43m 54s	99.0%	283.1 MB	617.9 MB	10.6 GB	7.1 GB
4	e6/996344	13943	sequence_processing_paired_workflow:demultiplexing_paired_workflow:demultiplexing_illumina_paired (fmt-run3)	CACHED	0	2022-03-29 03:26:52.669	23m 42s	23m 40s	98.4%	273.1 MB	607.9 MB	7.1 GB	4.6 GB
9	48/e3503c	3825	sequence_processing_paired_workflow:demultiplexing_paired_workflow:export_sequences (fmt-run4)	CACHED	0	2022-03-29 03:43:37.220	12.7s	8.9s	52.0%	186 MB	522.1 MB	406.1 MB	366.1 MB
10	20/a8ab39	5283	sequence_processing_paired_workflow:trimming_paired_workflow:import_sequences_paired (fmt-run4)	CACHED	0	2022-03-29 03:43:49.967	22.5s	19.6s	96.5%	187.3 MB	523.1 MB	1.2 GB	549.1 MB
11	dc/5a00e2	6879	sequence_processing_paired_workflow:trimming_paired_workflow:export_visualization_paired (fmt-run4)	CACHED	0	2022-03-29 03:44:12.467	26s	23.5s	95.9%	276.6 MB	627.6 MB	601.1 MB	185.7 MB
12	79/f65d6d	8128	sequence_processing_paired_workflow:trimming_paired_workflow:quality_analysis_paired (fmt-run4)	CACHED	0	2022-03-29 03:44:38.550	6.3s	3.6s	6.2%	17.8 MB	137.7 MB	4 MB	1.4 KB
13	07/193921	9011	sequence_processing_paired_workflow:trimming_paired_workflow:trimming_paired (fmt-run4)	CACHED	0	2022-03-29 03:44:44.867	53s	50.2s	485.3%	7.6 GB	10.1 GB	220.7 MB	178.6 MB
8	a8/0950b3	9380	sequence_processing_paired_workflow:demultiplexing_paired_workflow:export_sequences (fmt-run3)	CACHED	0	2022-03-29 03:50:35.087	9.8s	7s	81.3%	186.1 MB	522.1 MB	783.5 MB	743.3 MB
7	22/b584f5	25024	sequence_processing_paired_workflow:demultiplexing_paired_workflow:export_sequences (fmt-run2)	CACHED	0	2022-03-29 04:11:50.208	12.1s	9.2s	81.6%	186.1 MB	522.1 MB	1.4 GB	1.3 GB
14	92/77624c	11840	denoise_cluster_workflow:dada2_workflow:dada2_paired (fmt-run4)	CACHED	0	2022-03-29 03:45:37.940	29m 59s	29m 53s	99.8%	1.6 GB	1.9 GB	490.1 MB	2.8 MB
16	10/512153	11865	denoise_cluster_workflow:deblur_workflow:deblur (fmt-run4)	CACHED	0	2022-03-29 03:45:38.028	15m 27s	15m 24s	99.0%	912 MB	1.4 GB	2.5 GB	1.2 GB
21	5b/7e6169	3919	denoise_cluster_workflow:dada2_workflow:make_biom_repseqs (fmt-run4)	CACHED	0	2022-03-29 04:15:36.712	10.6s	8.1s	14.7%	74.1 MB	494 MB	16.9 MB	5.2 MB
15	9e/e5b031	11859	denoise_cluster_workflow:open_reference_workflow:join_reads (fmt-run4)	CACHED	0	2022-03-29 03:45:38.003	1m 34s	1m 31s	96.9%	190 MB	529.6 MB	2.7 GB	1.8 GB
17	67/eee90c	11848	denoise_cluster_workflow:de_novo_workflow:join_reads (fmt-run4)	CACHED	0	2022-03-29 03:45:37.978	1m 34s	1m 31s	96.7%	190 MB	529.6 MB	2.7 GB	1.8 GB
18	ee/bd4514	11843	denoise_cluster_workflow:closed_reference_workflow:join_reads (fmt-run4)	CACHED	0	2022-03-29 03:45:37.964	1m 34s	1m 31s	96.6%	189.8 MB	529.6 MB	2.7 GB	1.8 GB
22	0c/3f55fc	24452	denoise_cluster_workflow:de_novo_workflow:fastq2fasta (fmt-run4)	CACHED	0	2022-03-29 03:47:12.512	10.8s	7.9s	77.7%	14.1 MB	254.6 MB	499.3 MB	813.1 MB
24	a2/37c935	24386	denoise_cluster_workflow:closed_reference_workflow:fastq2fasta (fmt-run4)	CACHED	0	2022-03-29 03:47:12.265	10.9s	7.8s	80.1%	9.4 MB	135 MB	499.3 MB	813.1 MB
23	77/40dcc9	24424	denoise_cluster_workflow:open_reference_workflow:fastq2fasta (fmt-run4)	CACHED	0	2022-03-29 03:47:12.362	10.9s	7.9s	77.7%	14.1 MB	254.4 MB	499.3 MB	813.1 MB
26	78/f44779	28070	denoise_cluster_workflow:closed_reference_workflow:closed_reference (fmt-run4:gg_97)	CACHED	0	2022-03-29 03:47:23.249	37m 12s	37m 10s	99.6%	924.9 MB	1.3 GB	3.9 GB	1.9 GB
27	18/0f4d46	28082	denoise_cluster_workflow:open_reference_workflow:open_reference (fmt-run4:gg_97)	CACHED	0	2022-03-29 03:47:23.330	43m 47s	43m 44s	99.6%	991.9 MB	1.3 GB	5.7 GB	2.8 GB
25	f1/c9de37	28080	denoise_cluster_workflow:de_novo_workflow:de_novo (fmt-run4)	CACHED	0	2022-03-29 03:47:23.325	10m 23s	10m 20s	98.9%	946.9 MB	1.3 GB	3.5 GB	1.7 GB
19	a0/b3b789	11362	sequence_processing_paired_workflow:trimming_paired_workflow:import_sequences_paired (fmt-run3)	CACHED	0	2022-03-29 03:50:45.010	49.3s	45.4s	96.2%	188.1 MB	523.6 MB	3 GB	1.1 GB
28	25/e8f77a	17172	sequence_processing_paired_workflow:trimming_paired_workflow:export_visualization_paired (fmt-run3)	CACHED	0	2022-03-29 03:51:34.312	53s	50.2s	98.9%	274.9 MB	627.9 MB	1.1 GB	374.4 MB
29	e3/79602a	22678	sequence_processing_paired_workflow:trimming_paired_workflow:quality_analysis_paired (fmt-run3)	CACHED	0	2022-03-29 03:52:27.340	3s	240ms	84.6%	6.9 MB	125.5 MB	4 MB	1.4 KB
20	8c/4cddd5	26895	sequence_processing_paired_workflow:trimming_paired_workflow:import_sequences_paired (fmt-run2)	CACHED	0	2022-03-29 04:12:02.399	1m 25s	1m 21s	97.1%	188.2 MB	523.6 MB	5 GB	2 GB
