task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
132	c9/64f35f	24961	network_inference_workflow:spieceasi_workflow:spieceasi (hub_negbin)	CACHED	0	2021-12-02 17:38:11.998	1m 38s	1m 34s	98.4%	315.6 MB	573.6 MB	19.9 MB	38.5 KB
148	dd/4b1a1c	23758	network_inference_workflow:spieceasi_workflow:spieceasi (erdos_renyi_zinegbin)	CACHED	0	2021-12-02 17:40:19.461	1m 27s	1m 23s	98.4%	314.9 MB	570 MB	20 MB	39.7 KB
170	81/6e3bb5	34196	network_inference_workflow:flashweave_workflow:flashweave (hub_zinegbin)	CACHED	0	2021-12-02 17:33:34.091	2m 31s	2m 31s	98.3%	1.3 GB	2.3 GB	178.3 MB	426.9 KB
154	99/9f9e50	15455	network_inference_workflow:spieceasi_workflow:spieceasi (scale_free_zinegbin)	CACHED	0	2021-12-02 17:29:50.538	2m 16s	2m 13s	98.9%	334.6 MB	591.1 MB	20 MB	36.7 KB
14	63/a40f49	983	network_inference_workflow:spring_workflow:spring (cluster_zinegbin)	CACHED	0	2021-12-02 17:31:22.301	4m 27s	4m 22s	98.7%	363.8 MB	696.6 MB	24.3 MB	50.4 KB
139	44/2faa14	19688	network_inference_workflow:flashweave_workflow:flashweave (hub_negbin)	CACHED	0	2021-12-02 17:29:51.694	2m 32s	2m 31s	99.0%	1.6 GB	2.6 GB	178.3 MB	422.2 KB
177	48/32500a	1390	network_inference_workflow:spring_workflow:spring (block_pois)	CACHED	0	2021-12-02 17:38:55.608	2m 1s	1m 57s	98.4%	329.3 MB	662.4 MB	24.3 MB	48.2 KB
126	16/73dcf5	36289	network_inference_workflow:spring_workflow:spring (band_negbin)	CACHED	0	2021-12-02 17:29:38.060	4m 3s	3m 59s	99.1%	356.9 MB	689.8 MB	24.3 MB	47.6 KB
65	09/41095e	16377	network_inference_workflow:spring_workflow:spring (block_negbin)	CACHED	0	2021-12-02 17:29:29.382	4m 28s	4m 25s	99.0%	363.9 MB	696.7 MB	24.3 MB	46.4 KB
155	71/4ae08f	442	network_inference_workflow:harmonies_workflow:harmonies (scale_free_zinegbin)	CACHED	0	2021-12-02 17:35:15.487	2h 35m 30s	2h 35m 26s	73.6%	286.5 MB	481 MB	28.2 MB	36.4 KB
70	cb/8ffc04	19850	network_inference_workflow:spieceasi_workflow:spieceasi (block_negbin)	CACHED	0	2021-12-02 17:29:30.121	1m 15s	1m 12s	99.1%	302.9 MB	560.6 MB	19.9 MB	39.4 KB
76	ca/e379aa	27068	network_inference_workflow:spring_workflow:spring (cluster_pois)	CACHED	0	2021-12-02 17:40:32.799	2m 14s	2m 10s	95.3%	327.1 MB	660 MB	24.3 MB	50.5 KB
100	2b/fda887	2013	network_inference_workflow:spring_workflow:spring (erdos_renyi_pois)	CACHED	0	2021-12-02 17:29:07.070	2m 8s	2m 4s	98.7%	332.5 MB	663.5 MB	24.3 MB	49.7 KB
